id,name,city,rating,rating_count,cuisine,cost,link
601,Litti Twist,Bangalore,4.2,500,North Indian,250,https://www.swiggy.com/restaurants/litti-twist-2nd-stage-btm-2nd-stage-bangalore-601
604,Aalishan Restaurant & Caterer,Bangalore,4,100,Mughlai,290,https://www.swiggy.com/restaurants/aalishan-restaurant-and-caterer-7th-block-koramangala-bangalore-604
607,Amar Rannaghar,Bangalore,4,1000,Bengali,350,https://www.swiggy.com/restaurants/amar-rannaghar-kundanahalli-gate-chinnapanna-halli-bangalore-607
608,Kerala Pavilion,Bangalore,4,100,Kerala,300,https://www.swiggy.com/restaurants/kerala-pavilion-layout-domlur-bangalore-608
621,Kitchen of Joy,Bangalore,4.3,100,Bengali,250,https://www.swiggy.com/restaurants/kitchen-of-joy-domlur-indiranagar-bangalore-621
625,Beijing Bites,Bangalore,4.3,100,Chinese,400,https://www.swiggy.com/restaurants/beijing-bites-jeevan-bhima-nagar-new-tippasandra-bangalore-625
644,Moti Mahal Delux,Bangalore,3.5,100,Punjabi,500,https://www.swiggy.com/restaurants/moti-mahal-delux-sector-2-hsr-layout-bangalore-644
646,Chai Point,Bangalore,4.3,500,Bakery,150,https://www.swiggy.com/restaurants/chai-point-4th-block-jayanagar-bangalore-646
655,Meghana Foods,Bangalore,4.3,1000,Biryani,500,https://www.swiggy.com/restaurants/meghana-foods-4th-block-jayanagar-bangalore-655
664,Chai Point,Bangalore,4.3,500,Bakery,150,https://www.swiggy.com/restaurants/chai-point-brigade-metropolis-mahadevapura-bangalore-664
665,Chai Point,Bangalore,4.3,1000,Bakery,150,https://www.swiggy.com/restaurants/chai-point-aecs-layout-kundanhahalli-marathahalli-bangalore-665
667,Chai Point,Bangalore,4.3,50,Bakery,150,https://www.swiggy.com/restaurants/chai-point-yamalur-marathahalli-bangalore-667
669,Chai Point,Bangalore,4.1,500,Bakery,150,https://www.swiggy.com/restaurants/chai-point-btm-2nd-stage-bangalore-669
676,Chai Point,Bangalore,4.4,500,Bakery,150,https://www.swiggy.com/restaurants/chai-point-5th-block-koramangala-bangalore-676
678,Pizza Stop,Bangalore,4.1,20,Italian,400,https://www.swiggy.com/restaurants/pizza-stop-80-feet-road-indiranagar-bangalore-678
683,Cream Stone Ice Cream,Bangalore,4.2,100,Ice Cream,200,https://www.swiggy.com/restaurants/cream-stone-ice-cream-sector-6-hsr-layout-bangalore-683
690,Sweet Moments,Bangalore,4.4,100,Chaat,100,https://www.swiggy.com/restaurants/sweet-moments-5th-main-kullapa-circle-kammanahalli-kalyan-nagar-bangalore-690
722,Hi Seoul,Bangalore,4.7,100,Korean,800,https://www.swiggy.com/restaurants/hi-seoul-kalyan-nagar-bangalore-722
